----------------------------------------------------------------------------------------------------------------------------------
Total-pressure measurements taken between wing and propeller with Model I, effect of advance ratio for inboard-up configuration 
(dF = +10 deg), AoA = -0.2 deg, Re_D = 640,000

File created: 25 June 2018 by T Sinnige, Delft University of Technology (T.Sinnige@tudelft.nl)
File contents: Total-pressure coefficient CPt = (pT-pInf)/qInf at 0.15R downstream of propeller, including wind-tunnel conditions.
Measured: September 2017 at Low-Turbulence Tunnel, Delft University of Technology
Remarks: 1) A description of the experimental setup and data is given in the paper:
	    Sinnige, T., van Arnhem, N., Stokkermans, T. C. A., Eitelberg, G., Veldhuis, L. L. M., ``Wingtip-Mounted 
	    Propellers: Aerodynamic Analysis of Interaction Effects and Comparison with Conventional Layout,''
	    Journal of Aircraft, 2018.
	    Please cite this paper when using the data presented in this file. (doi will be available later)
	 2) CAD models of Model I are attached as Supplemental Data S2.
	 3) The data are provided as a function of circumferential angle (phi), at constant radial position (r/R).
	 4) The data were measured with a single total-pressure probe which was traversed through the measurement plane; the
	    final data were obainted by interpolation. Two scan planes were used: one for the negative Y range and one for the
	    positive Y range, with some overlap between the two planes. In these overlap regions, the results have been averaged
	    in the interpolation procedure.
	 5) During the measurements, slight drifts occurred in the propeller rotational speed (max offset approx. 1 Hz). This was
	    corrected for by using calibration measurements in which the RPS was varied slightly around the desired set point, 
	    resulting in linear calibration curves of total pressure vs RPS-delta from the set point. The data provided in this 
	    file are the corrected data (therefore, the RPS is exactly equal to the desired set point at each data point).
	 6) The data were written to this output file after processing and plotting had completed. Checks have been made to 
	    prevent errors; however, since we haven't worked with the files ourselves, the possibility of errors cannot be fully
	    excluded. In case of problems, please contact T. Sinnige at the abovementioned email address.
----------------------------------------------------------------------------------------------------------------------------------
case,config,AoA,Vinf,rhoInf,Tinf,Pinf,n,J=Vinf/nD,r/R,phi,CpT
2,inboard-up,-0.20,39.99,1.1944,296.67,101714.6,188.30,0.8962,0.7595,220,2.0202
2,inboard-up,-0.20,40.00,1.1944,296.66,101713.8,188.30,0.8962,0.7595,230,2.0223
2,inboard-up,-0.20,39.99,1.1945,296.65,101714.1,188.30,0.8961,0.7595,240,2.0231
2,inboard-up,-0.20,40.00,1.1945,296.65,101714.3,188.30,0.8962,0.7595,250,2.0219
2,inboard-up,-0.20,39.99,1.1945,296.65,101715.5,188.30,0.8962,0.7595,260,2.0183
2,inboard-up,-0.20,40.00,1.1974,296.36,101859.7,188.30,0.8962,0.7595,270,2.0130
2,inboard-up,-0.20,40.00,1.2002,296.07,102001.9,188.30,0.8963,0.7595,280,2.0056
2,inboard-up,-0.20,40.00,1.2002,296.07,102001.9,188.30,0.8963,0.7595,290,1.9978
2,inboard-up,-0.20,40.00,1.2002,296.07,102002.1,188.30,0.8963,0.7595,300,1.9898
2,inboard-up,-0.20,40.00,1.2002,296.08,102000.7,188.30,0.8964,0.7595,310,1.9829
2,inboard-up,-0.20,40.01,1.2002,296.08,102000.9,188.30,0.8965,0.7595,320,1.9793
2,inboard-up,-0.20,40.00,1.2001,296.08,101999.9,188.30,0.8963,0.7595,330,1.9761
2,inboard-up,-0.20,40.00,1.2001,296.09,101998.9,188.30,0.8963,0.7595,340,1.9732
2,inboard-up,-0.20,40.00,1.2001,296.09,101998.8,188.30,0.8964,0.7595,350,1.9725
3,inboard-up,-0.20,39.99,1.1995,295.95,101904.2,211.90,0.7963,0.7595,0,1.9720
3,inboard-up,-0.20,39.99,1.1995,295.97,101905.1,211.90,0.7963,0.7595,10,1.9721
3,inboard-up,-0.20,40.00,1.1993,296.01,101904.9,211.90,0.7964,0.7595,20,1.9723
3,inboard-up,-0.20,39.99,1.1990,296.07,101897.4,211.90,0.7964,0.7595,30,1.9718
3,inboard-up,-0.20,40.01,1.1990,296.09,101903.0,211.90,0.7966,0.7595,40,1.9720
3,inboard-up,-0.20,40.00,1.1988,296.11,101894.0,211.90,0.7965,0.7595,50,1.9740
3,inboard-up,-0.20,40.00,1.1987,296.13,101891.0,211.90,0.7965,0.7595,60,1.9749
3,inboard-up,-0.20,40.00,1.1987,296.13,101891.5,211.90,0.7964,0.7595,70,1.9765
3,inboard-up,-0.20,39.99,1.1985,296.15,101888.4,211.90,0.7963,0.7595,80,1.9777
3,inboard-up,-0.20,39.98,1.1979,296.20,101850.8,211.90,0.7962,0.7595,90,1.9846
3,inboard-up,-0.20,39.98,1.1971,296.28,101813.4,211.90,0.7960,0.7595,100,1.9889
3,inboard-up,-0.20,39.97,1.1972,296.27,101814.4,211.90,0.7960,0.7595,110,1.9936
3,inboard-up,-0.20,39.99,1.1972,296.26,101815.6,211.90,0.7962,0.7595,120,1.9969
3,inboard-up,-0.20,39.98,1.1973,296.25,101818.2,211.90,0.7961,0.7595,130,1.9965
3,inboard-up,-0.20,39.98,1.1974,296.21,101813.2,211.90,0.7961,0.7595,140,1.9989
3,inboard-up,-0.20,39.99,1.1976,296.18,101814.4,211.90,0.7963,0.7595,150,2.0021
3,inboard-up,-0.20,39.99,1.1979,296.13,101822.2,211.90,0.7963,0.7595,160,2.0039
3,inboard-up,-0.20,39.99,1.1981,296.07,101825.2,211.90,0.7963,0.7595,170,2.0066
3,inboard-up,-0.20,39.99,1.1982,296.05,101828.0,211.90,0.7963,0.7595,180,2.0097
3,inboard-up,-0.20,39.99,1.1984,296.02,101827.3,211.90,0.7963,0.7595,190,2.0116
3,inboard-up,-0.20,39.99,1.1988,295.95,101837.2,211.90,0.7963,0.7595,200,2.0144
3,inboard-up,-0.20,39.99,1.1991,295.89,101842.2,211.90,0.7964,0.7595,210,2.0178
3,inboard-up,-0.20,39.99,1.1993,295.83,101845.3,211.90,0.7964,0.7595,220,2.0202
3,inboard-up,-0.20,39.99,1.1995,295.76,101839.3,211.90,0.7964,0.7595,230,2.0223
3,inboard-up,-0.20,40.00,1.1997,295.73,101839.3,211.90,0.7964,0.7595,240,2.0231
3,inboard-up,-0.20,40.00,1.1999,295.68,101837.3,211.90,0.7964,0.7595,250,2.0219
3,inboard-up,-0.20,40.00,1.1999,295.65,101833.2,211.90,0.7964,0.7595,260,2.0183
3,inboard-up,-0.20,39.99,1.2005,295.62,101871.8,211.90,0.7963,0.7595,270,2.0130
3,inboard-up,-0.20,39.99,1.2010,295.61,101912.6,211.90,0.7963,0.7595,280,2.0056
3,inboard-up,-0.20,40.00,1.2009,295.63,101911.7,211.90,0.7965,0.7595,290,1.9978
3,inboard-up,-0.20,40.00,1.2008,295.66,101914.2,211.90,0.7964,0.7595,300,1.9898
3,inboard-up,-0.20,40.00,1.2007,295.69,101916.7,211.90,0.7965,0.7595,310,1.9829
3,inboard-up,-0.20,40.00,1.2005,295.75,101914.9,211.90,0.7964,0.7595,320,1.9793
3,inboard-up,-0.20,40.00,1.2002,295.81,101909.8,211.90,0.7964,0.7595,330,1.9761
3,inboard-up,-0.20,40.00,1.1999,295.88,101913.4,211.90,0.7965,0.7595,340,1.9732
3,inboard-up,-0.20,39.99,1.1998,295.89,101906.8,211.90,0.7964,0.7595,350,1.9725
4,inboard-up,-0.20,40.02,1.2003,296.03,101996.0,242.10,0.6975,0.7595,0,1.9720
4,inboard-up,-0.20,40.02,1.2002,296.05,101996.1,242.10,0.6976,0.7595,10,1.9721
4,inboard-up,-0.20,40.02,1.2002,296.05,101996.1,242.10,0.6975,0.7595,20,1.9723
4,inboard-up,-0.20,40.02,1.2002,296.05,101996.2,242.10,0.6975,0.7595,30,1.9718
4,inboard-up,-0.20,40.02,1.2002,296.05,101995.2,242.10,0.6976,0.7595,40,1.9720
4,inboard-up,-0.20,40.02,1.2002,296.05,101994.1,242.10,0.6975,0.7595,50,1.9740
4,inboard-up,-0.20,40.02,1.2002,296.06,101994.2,242.10,0.6974,0.7595,60,1.9749
4,inboard-up,-0.20,40.02,1.2001,296.06,101993.0,242.10,0.6974,0.7595,70,1.9765
4,inboard-up,-0.20,40.02,1.2001,296.07,101994.1,242.10,0.6975,0.7595,80,1.9777
4,inboard-up,-0.20,39.99,1.1974,296.35,101855.2,242.10,0.6970,0.7595,90,1.9846
4,inboard-up,-0.20,39.98,1.1946,296.63,101717.2,242.10,0.6968,0.7595,100,1.9889
4,inboard-up,-0.20,39.98,1.1946,296.62,101717.9,242.10,0.6968,0.7595,110,1.9936
4,inboard-up,-0.20,39.99,1.1946,296.62,101717.8,242.10,0.6969,0.7595,120,1.9969
4,inboard-up,-0.20,39.99,1.1947,296.61,101719.1,242.10,0.6969,0.7595,130,1.9965
4,inboard-up,-0.20,39.99,1.1946,296.62,101717.9,242.10,0.6969,0.7595,140,1.9989
4,inboard-up,-0.20,39.99,1.1947,296.61,101720.1,242.10,0.6970,0.7595,150,2.0021
4,inboard-up,-0.20,39.99,1.1948,296.59,101720.8,242.10,0.6970,0.7595,160,2.0039
4,inboard-up,-0.20,39.99,1.1948,296.59,101721.2,242.10,0.6969,0.7595,170,2.0066
4,inboard-up,-0.20,39.99,1.1949,296.58,101725.6,242.10,0.6969,0.7595,180,2.0097
4,inboard-up,-0.20,39.99,1.1950,296.55,101726.2,242.10,0.6970,0.7595,190,2.0116
4,inboard-up,-0.20,40.00,1.1951,296.54,101725.6,242.10,0.6971,0.7595,200,2.0144
4,inboard-up,-0.20,40.00,1.1951,296.53,101726.9,242.10,0.6971,0.7595,210,2.0178
4,inboard-up,-0.20,39.99,1.1951,296.53,101729.4,242.10,0.6970,0.7595,220,2.0202
4,inboard-up,-0.20,39.99,1.1951,296.53,101728.3,242.10,0.6970,0.7595,230,2.0223
4,inboard-up,-0.20,39.99,1.1951,296.53,101729.1,242.10,0.6970,0.7595,240,2.0231
4,inboard-up,-0.20,39.99,1.1952,296.51,101729.3,242.10,0.6970,0.7595,250,2.0219
4,inboard-up,-0.20,39.99,1.1952,296.51,101729.2,242.10,0.6970,0.7595,260,2.0183
4,inboard-up,-0.20,40.00,1.1979,296.25,101865.1,242.10,0.6972,0.7595,270,2.0130
4,inboard-up,-0.20,40.02,1.2005,295.99,102001.0,242.10,0.6975,0.7595,280,2.0056
4,inboard-up,-0.20,40.01,1.2005,295.99,102001.1,242.10,0.6974,0.7595,290,1.9978
4,inboard-up,-0.20,40.01,1.2005,295.99,102001.1,242.10,0.6974,0.7595,300,1.9898
4,inboard-up,-0.20,40.02,1.2005,295.99,102001.0,242.10,0.6975,0.7595,310,1.9829
4,inboard-up,-0.20,40.02,1.2004,296.01,102001.0,242.10,0.6975,0.7595,320,1.9793
4,inboard-up,-0.20,40.01,1.2004,296.01,102000.0,242.10,0.6974,0.7595,330,1.9761
4,inboard-up,-0.20,40.02,1.2004,296.01,101999.1,242.10,0.6976,0.7595,340,1.9732
4,inboard-up,-0.20,40.02,1.2004,296.01,101999.0,242.10,0.6976,0.7595,350,1.9725
